X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-1.110871,51.603446,train,2.5359124132778935E-4,48.24199190661901,0.7236606649444746
-2.372837,51.383003,train,1.1208167951085423E-4,22.1420454156026,0.43359103349909955
-0.858249,53.938435,train,4.352031834139941E-4,85.47753941862211,0.8899915025475058
-2.666804,51.533703,train,7.3578400588529E-5,12.385502253881402,0.3114475619106959
-2.649585,51.544544,train,7.66489675301856E-5,13.189193469174775,0.3220872168920643
0.545795,51.45977,train,2.3446986235222281E-4,45.393180438088,0.6955196653874922
0.310191,51.461053,train,2.104719149433652E-4,41.473040350561526,0.6561121242390096
-3.952192,51.637557,train,1.092142860790361E-5,1.0376242313561344,0.05388357755826889
-1.06375,51.560144,train,1.52930826337925E-4,32.306327111746086,0.5395778206097023
-0.622945,51.825553,train,1.7245432405541062E-4,35.753615239161604,0.5829827750747067
-0.346935,52.759329,train,3.197245795957491E-4,62.10850867553849,0.8024040033535592
-0.982915,51.384356,train,1.3679956525235258E-4,28.544983686837703,0.5003259731844565
0.714295,52.341868,train,5.061432410285812E-4,95.06774784043891,0.9232330230368818
-2.729189,52.72545,train,1.954721345921075E-4,39.57463002232525,0.6289305364186066
-0.5813884,52.2887645,train,3.367881294808638E-4,65.56709909361818,0.8187849958850362
1.199294,52.94532,train,1.729688686157416E-4,35.82052525746209,0.5840696000455423
-1.240969,52.567178,train,3.127772964771141E-4,60.2808131959958,0.7953177647189774
-2.156482,52.461627,train,2.1855039551913475E-4,42.90944709173257,0.6699168983159227
-1.478671,52.484272,train,3.154768427110579E-4,60.97883577253348,0.7981010035974133
0.377848,51.539784,train,2.2841787924035865E-4,44.503412927513835,0.6860291852623662
0.118506,51.622542,train,1.6408432755819243E-4,34.295692594768596,0.5648994256732369
-1.188651,52.639965,train,2.8094721132897735E-4,53.565419700821096,0.7594592015642834
-2.659598,52.7108,train,2.8707631810538837E-4,54.83698858796594,0.7668213171828769
0.393989,51.439226,train,1.7535999349944364E-4,36.1501852288904,0.5890831046259801
