RSPB,County,Species,Mean 2021,Rank 2021,% Gardens 2021,,Mean 2020,Rank 2020,% Gardens 2020,,% Change,Rank Change,% change in % gardens recorded,
ESRO,Aberdeenshire,House_sparrow,6.502,1,76.4,,7.841,1,74.4,,-17.1,0,2.7,
ESRO,Aberdeenshire,Starling,4.124,2,51.3,,5.333,2,46.5,,-22.7,0,10.1,
ESRO,Aberdeenshire,Chaffinch,3.535,3,64.3,,2.526,3,57.5,,39.9,0,11.8,
ESRO,Aberdeenshire,Blackbird,3.343,4,91.8,,2.513,4,86.9,,33.0,0,5.7,
ESRO,Aberdeenshire,Blue_tit,2.878,5,81.5,,2.424,5,76.4,,18.7,0,6.7,
ESRO,Aberdeenshire,Robin,2.027,6,94.3,,1.502,7,88.2,,34.9,1,6.9,
ESRO,Aberdeenshire,Great_tit,1.826,7,62.9,,1.427,9,56.3,,28.0,2,11.7,
ESRO,Aberdeenshire,Coal_tit,1.815,8,58.6,,1.141,11,48.2,,59.1,3,21.5,
ESRO,Aberdeenshire,Woodpigeon,1.632,9,57.8,,1.476,8,58.7,,10.6,-1,-1.6,
ESRO,Aberdeenshire,Goldfinch,1.271,10,26.2,,1.959,6,32.1,,-35.1,-4,-18.3,
ESRO,Aberdeenshire,Long_tailed_tit,1.116,11,19.4,,1.178,10,19.6,,-5.3,-1,-1.0,
ESRO,Aberdeenshire,Dunnock,0.950,12,44.9,,0.923,12,47.7,,3.0,0,-5.8,
ESRO,Aberdeenshire,Carrion_crow,0.854,13,31.1,,0.904,14,31.3,,-5.5,1,-0.7,
ESRO,Aberdeenshire,Jackdaw,0.690,14,19.5,,0.889,15,21.0,,-22.4,1,-7.2,
ESRO,Aberdeenshire,Collared_dove,0.654,15,27.2,,0.914,13,33.6,,-28.4,-2,-19.0,
ESRO,Aberdeenshire,Magpie,0.599,16,30.8,,0.634,18,31.7,,-5.5,2,-3.0,
ESRO,Aberdeenshire,Greenfinch,0.587,17,22.0,,0.686,16,23.6,,-14.4,-1,-6.8,
ESRO,Aberdeenshire,Tree_sparrow,0.485,18,9.8,,0.655,17,11.5,,-26.0,-1,-14.0,
ESRO,Aberdeenshire,Wren,0.320,19,24.6,,0.313,20,24.1,,2.0,1,1.9,
ESRO,Aberdeenshire,Great_spotted_woodpecker,0.216,20,16.2,,0.204,22,14.5,,6.0,2,11.9,
ESRO,Aberdeenshire,Pheasant,0.214,21,9.1,,0.235,21,9.9,,-8.7,0,-8.0,
ESRO,Aberdeenshire,Feral_pigeon,0.207,22,6.2,,0.371,19,9.1,,-44.1,-3,-32.1,
ESRO,Aberdeenshire,Siskin,0.172,23,6.2,,0.084,25,3.4,,104.9,2,83.2,
ESRO,Aberdeenshire,Song_thrush,0.126,24,9.0,,0.085,24,6.0,,48.4,0,50.3,
ESRO,Aberdeenshire,Rook,0.114,25,3.3,,0.123,23,3.7,,-7.1,-2,-11.1,
ESRO,Aberdeenshire,Herring_gull,0.086,26,2.6,,0.080,26,2.8,,6.6,0,-8.1,
ESRO,Aberdeenshire,Yellowhammer,0.063,27,3.7,,0.028,33,2.1,,122.4,6,81.7,
ESRO,Aberdeenshire,Bullfinch,0.060,28,3.2,,0.059,27,2.9,,2.6,-1,8.4,
ESRO,Aberdeenshire,Buzzard,0.055,29,3.9,,0.047,28,3.7,,16.5,-1,4.8,
ESRO,Aberdeenshire,Common_gull,0.046,30,1.6,,0.037,31,1.0,,24.7,1,53.4,
ESRO,Aberdeenshire,Fieldfare,0.044,31,1.7,,0.018,35,0.9,,141.9,4,89.4,
ESRO,Aberdeenshire,Treecreeper,0.037,32,3.7,,0.047,29,4.7,,-20.6,-3,-20.6,
ESRO,Aberdeenshire,Sparrowhawk,0.027,33,2.7,,0.046,30,4.6,,-42.6,-3,-42.6,
ESRO,Aberdeenshire,Jay,0.025,34,1.8,,0.032,32,2.4,,-20.7,-2,-22.6,
ESRO,Aberdeenshire,Redwing,0.023,35,0.8,,0.017,36,0.8,,35.0,1,4.2,
ESRO,Aberdeenshire,Black_headed_gull,0.021,36,0.7,,0.014,39,0.7,,55.7,3,3.8,
ESRO,Aberdeenshire,Goldcrest,0.021,37,2.0,,0.024,34,2.1,,-12.3,-3,-7.3,
ESRO,Aberdeenshire,Blackcap,0.015,38,1.2,,0.007,44,0.7,,125.1,6,80.1,
ESRO,Aberdeenshire,Pied_wagtail,0.014,39,0.8,,0.009,41,0.7,,58.9,2,17.2,
ESRO,Aberdeenshire,Brambling,0.013,40,1.3,,0.001,53,0.1,,1051.0,13,1051.0,
ESRO,Aberdeenshire,Grey_heron,0.012,41,1.2,,0.010,40,1.0,,19.9,-1,19.9,
ESRO,Aberdeenshire,Mistle_thrush,0.007,42,0.6,,0.002,50,0.2,,224.1,8,183.6,
ESRO,Aberdeenshire,Red_kite,0.007,43,0.4,,0.008,43,0.7,,-11.0,0,-41.3,
ESRO,Aberdeenshire,Redpoll,0.007,44,0.4,,0.003,49,0.2,,98.9,5,76.3,
ESRO,Aberdeenshire,Mallard,0.006,45,0.2,,0.015,37,0.6,,-60.5,-8,-62.2,
ESRO,Aberdeenshire,Hooded_crow,0.005,46,0.4,,0.014,38,0.8,,-59.5,-8,-45.9,
ESRO,Aberdeenshire,Moorhen,0.005,47,0.3,,0.001,54,0.1,,359.9,7,143.5,
ESRO,Aberdeenshire,Kestrel,0.004,48,0.4,,0.007,46,0.7,,-45.8,-2,-45.8,
ESRO,Aberdeenshire,Barn_owl,0.002,49,0.2,,0.008,42,0.8,,-69.1,-7,-69.1,
ESRO,Aberdeenshire,Red_legged_partridge,0.002,50,0.1,,0.005,48,0.3,,-52.7,-2,-64.0,
ESRO,Aberdeenshire,Grey_wagtail,0.002,51,0.2,,0.000,63,0.0,,Increase,12,Increase,
ESRO,Aberdeenshire,Stock_dove,0.002,52,0.1,,0.006,47,0.2,,-62.1,-5,-59.4,
ESRO,Aberdeenshire,Raven,0.002,53,0.1,,0.000,72,0.0,,Increase,19,Increase,
ESRO,Aberdeenshire,Willow_tit,0.002,54,0.1,,0.000,80,0.0,,Increase,26,Increase,
ESRO,Aberdeenshire,Nuthatch,0.002,55,0.1,,0.000,71,0.0,,Increase,16,Increase,
ESRO,Aberdeenshire,Linnet,0.001,56,0.1,,0.000,67,0.0,,Increase,11,Increase,
ESRO,Aberdeenshire,Reed_bunting,0.001,57,0.1,,0.000,73,0.0,,Increase,16,Increase,
ESRO,Aberdeenshire,Lesser_black_backed_gull,0.001,58,0.1,,0.000,66,0.0,,Increase,8,Increase,
ESRO,Aberdeenshire,Hawfinch,0.001,59,0.1,,0.000,64,0.0,,Increase,5,Increase,
ESRO,Aberdeenshire,Chiffchaff,0.001,60,0.1,,0.000,57,0.0,,Increase,-3,Increase,
ESRO,Aberdeenshire,Tawny_owl,0.001,61,0.1,,0.002,51,0.2,,-73.0,-10,-73.0,
ESRO,Aberdeenshire,Great_black_backed_gull,0.000,62,0.0,,0.000,60,0.0,,Increase,-2,Increase,
ESRO,Aberdeenshire,Grey_partridge,0.000,63,0.0,,0.000,62,0.0,,Increase,-1,Increase,
ESRO,Aberdeenshire,Black_redstart,0.000,64,0.0,,0.000,56,0.0,,Increase,-8,Increase,
ESRO,Aberdeenshire,Corn_bunting,0.000,65,0.0,,0.000,58,0.0,,Increase,-7,Increase,
ESRO,Aberdeenshire,Green_woodpecker,0.000,66,0.0,,0.001,55,0.1,,-72.9,-11,-72.9,
ESRO,Aberdeenshire,Marsh_tit,0.000,67,0.0,,0.002,52,0.2,,-86.5,-15,-86.5,
ESRO,Aberdeenshire,Lesser_spotted_woodpecker,0.000,71,0.0,,0.007,45,0.7,,-100.0,-26,-100.0,
ESRO,Angus,House_sparrow,7.024,1,77.2,,7.869,1,79.5,,-10.7,0,-2.9,
ESRO,Angus,Starling,3.374,2,43.1,,4.131,2,39.5,,-18.3,0,9.2,
ESRO,Angus,Blue_tit,3.333,3,80.5,,2.813,4,75.8,,18.5,1,6.1,
ESRO,Angus,Blackbird,3.272,4,91.9,,2.881,3,88.3,,13.6,-1,4.1,
ESRO,Angus,Chaffinch,2.660,5,53.4,,2.411,5,51.9,,10.3,0,2.9,
ESRO,Angus,Woodpigeon,2.195,6,70.5,,2.010,7,67.8,,9.2,1,4.0,
ESRO,Angus,Great_tit,1.822,7,57.5,,1.371,9,52.4,,32.9,2,9.8,
ESRO,Angus,Robin,1.819,8,91.1,,1.450,8,88.3,,25.4,0,3.1,
ESRO,Angus,Coal_tit,1.637,9,54.1,,1.098,10,48.4,,49.1,1,11.6,
ESRO,Angus,Goldfinch,1.467,10,28.2,,2.253,6,32.7,,-34.9,-4,-13.8,
ESRO,Angus,Long_tailed_tit,1.290,11,20.5,,1.086,11,18.6,,18.8,0,10.3,
ESRO,Angus,Dunnock,0.990,12,45.0,,1.069,12,44.0,,-7.4,0,2.2,
ESRO,Angus,Carrion_crow,0.877,13,31.9,,0.917,13,31.1,,-4.3,0,2.6,
ESRO,Angus,Feral_pigeon,0.759,14,14.3,,0.828,15,16.9,,-8.3,1,-15.2,
ESRO,Angus,Collared_dove,0.628,15,27.2,,0.910,14,33.8,,-31.0,-1,-19.4,
ESRO,Angus,Jackdaw,0.549,16,14.4,,0.655,16,17.4,,-16.1,0,-17.4,
ESRO,Angus,Greenfinch,0.524,17,19.0,,0.453,18,17.7,,15.5,1,7.1,
ESRO,Angus,Magpie,0.472,18,26.3,,0.533,17,26.9,,-11.6,-1,-2.3,
ESRO,Angus,Wren,0.321,19,23.8,,0.300,20,25.4,,7.0,1,-6.5,
ESRO,Angus,Tree_sparrow,0.252,20,5.0,,0.433,19,8.3,,-41.8,-1,-40.1,
ESRO,Angus,Pheasant,0.171,21,7.3,,0.248,21,10.6,,-31.0,0,-30.8,
ESRO,Angus,Great_spotted_woodpecker,0.156,22,11.6,,0.171,22,12.2,,-8.6,0,-5.0,
