Species,x,y
Hippodamia variegata,-0.062071,51.368024
Hippodamia variegata,-2.855642,51.689784
Hippodamia variegata,-1.554381,52.277807
Hippodamia variegata,-2.757635,52.914054
Hippodamia variegata,-3.263394,55.941804
Hippodamia variegata,-0.60624,52.364828
Hippodamia variegata,0.714295,52.341868
Hippodamia variegata,-0.692247,53.8221927
Hippodamia variegata,-0.336173,51.731927
Hippodamia variegata,-1.474448,53.450605
Hippodamia variegata,-1.672363,52.179299
Hippodamia variegata,-1.343202,53.8623192
Hippodamia variegata,-1.1557102,52.7218678
Hippodamia variegata,-0.538004,52.651705
Hippodamia variegata,0.244334,51.474383
Hippodamia variegata,-0.471807,52.003518
Hippodamia variegata,0.199759,51.435344
Hippodamia variegata,-0.61267,51.70234
Hippodamia variegata,-0.042852,51.81733
Hippodamia variegata,-2.360627,51.383491
Hippodamia variegata,0.167914,52.72631
Hippodamia variegata,-0.339465,51.642053
Hippodamia variegata,-1.145732,53.210051
Hippodamia variegata,0.093113,51.057562
Hippodamia variegata,-1.488375,52.282035
Hippodamia variegata,-1.474448,53.450605
Hippodamia variegata,-1.450229,52.403232
Hippodamia variegata,-0.427332,53.261619
Hippodamia variegata,-0.617435,52.005318
Hippodamia variegata,1.62241,52.24716
Hippodamia variegata,0.473972,52.900151
Hippodamia variegata,0.562472,52.255335
Hippodamia variegata,0.373176,51.449947
Hippodamia variegata,0.066601,51.5081353
Hippodamia variegata,-1.655794,52.430979
Hippodamia variegata,-1.325304,53.359969
Hippodamia variegata,-1.212629,53.154779
Hippodamia variegata,-1.323881,53.449848
Hippodamia variegata,0.178374,51.567894
Hippodamia variegata,0.178663,51.567889
Hippodamia variegata,-1.323881,53.449848
Hippodamia variegata,-0.594807,52.724315
Hippodamia variegata,-1.325304,53.359969
Hippodamia variegata,-1.323881,53.449848
Hippodamia variegata,-0.597688,52.634446
Hippodamia variegata,-1.699244,52.529987
Hippodamia variegata,-1.19031,52.550076
Hippodamia variegata,0.0196,51.737591
Hippodamia variegata,0.667482,51.351656
Hippodamia variegata,-1.781981,52.193038
Hippodamia variegata,-1.130971,52.567636
Hippodamia variegata,0.694645,50.980252
Hippodamia variegata,-1.022773,53.447765
Hippodamia variegata,-0.568145,52.634093
Hippodamia variegata,-0.597688,52.634446
Hippodamia variegata,-1.716122,52.197393
Hippodamia variegata,-0.597688,52.634446
Hippodamia variegata,-0.312643,52.361001
Hippodamia variegata,-0.065855,51.278158
Hippodamia variegata,-0.636472,51.376116
Hippodamia variegata,1.36578,51.245732
Hippodamia variegata,-1.321012,53.629602
Hippodamia variegata,0.137441,51.625796
Hippodamia variegata,-1.010196,53.98697
Hippodamia variegata,-0.342739,51.552177
Hippodamia variegata,-3.472244,54.39099
Hippodamia variegata,0.280101,52.306538
Hippodamia variegata,1.739816,52.313829
Hippodamia variegata,-1.02891,53.178143
Hippodamia variegata,1.372356,51.335494
Hippodamia variegata,0.382544,51.62962
Hippodamia variegata,0.322624,51.446463
Hippodamia variegata,-0.236569,54.247773
Hippodamia variegata,-0.198582,51.550053
Hippodamia variegata,0.725358,52.521466
Hippodamia variegata,-2.988528,53.807212
Hippodamia variegata,-1.146109,51.514465
Hippodamia variegata,-2.902068,54.023609
Hippodamia variegata,-1.471094,53.720242
Hippodamia variegata,-0.455177,52.589968
Hippodamia variegata,-2.913896,51.565262
Hippodamia variegata,-0.01509,52.446292
